id,title,original_title,release_date,year,vote_average,vote_count,popularity,overview,genres,director,poster_path,backdrop_path,runtime,status,production_companies
1392116,Film Wajib Tonton Sebelum Mati,Film Wajib Tonton Sebelum Mati,2025-01-08,2025,0.0,0,0.06,"Kino, his wife Via, and their best friend Wahyu celebrate one million subscribers on their YouTube channel by reviewing ‘Must-See Movies Before You Die,’ unaware it will be their last video together. Now, Kino sits alone, haunted by memories and wrestling with overwhelming despair, desperately trying to find hope.","Drama, Komedi",Razny Mahardhika,https://image.tmdb.org/t/p/w500/djLSClRzeIGwhqFvBOHzTX5vsGJ.jpg,,19,Released,"MAXStream Studios, Kinovia"
1355126,Pabrik Gula,Pabrik Gula,2025-03-31,2025,8.2,20,15.33,"Sekelompok buruh musiman yang datang ke sebuah pabrik gula tua di pedesaan untuk bekerja selama musim panen. Namun, mereka tidak mengetahui apa rahasia di balik pabrik gula tersebut.","Kengerian, Cerita Seru",Awi Suryadi,https://image.tmdb.org/t/p/w500/nwmR5EL5m8tcPBud6OwUyt8p5z1.jpg,https://image.tmdb.org/t/p/original/5saKQdU7JHNLmcLqVRmHGZ2Zj0E.jpg,133,Released,"MD Pictures, EST Studios"
1317938,Norma: Antara Mertua dan Menantu,Norma: Antara Mertua dan Menantu,2025-03-31,2025,7.9,4,15.3,"Norma yang baru menikah berharap pernikahannya bahagia, tanpa mengetahui bahwa suaminya diam-diam berselingkuh dengan ibunya.","Drama, Percintaan",Guntur Soeharjanto,https://image.tmdb.org/t/p/w500/oEWtL2Rr5AuufFq57BjB7YZvLKv.jpg,https://image.tmdb.org/t/p/original/ngAmo1lK9KUewNbeqNR2itDkV84.jpg,134,Released,Dee Company
1391153,Kitab Sijjin & Illiyyin,Kitab Sijjin & Illiyyin,2025-07-17,2025,7.8,3,3.6,"Saat masih kecil, Yuli menyaksikan kedua orang tuanya tewas di tangan kekuatan misterius setelah ibunya dirasuki. Dicap sebagai anak yang dikutuk dan tidak diinginkan, ia bertahan hidup dan tumbuh di bawah naungan istri ayahnya yang lain, Ambar, dan putrinya, Laras, sambil menanggung penghinaan terus-menerus. Namun, semuanya berubah saat Ambar membisikkan rahasia terakhir ke telinga Yuli. Didorong oleh rasa dendam, Yuli melakukan ritual terlarang. Saat sihir hitam itu mengakar, dunia di sekitarnya mulai terurai.","Kengerian, Cerita Seru",Hadrah Daeng Ratu,https://image.tmdb.org/t/p/w500/6WTcQ95kWMLBi4HtxopXUW3QIsE.jpg,https://image.tmdb.org/t/p/original/8O5dKufZ97eVOvEgt1C3Q6T8Lme.jpg,98,Released,"Rapi Films, Sky Media, Legacy Pictures, Rhaya Flicks, Narasi Semesta"
1261148,AlMarhum,AlMarhum,2025-01-09,2025,6.1,7,2.34,"Kematian tragis Pak Mulwanto, sang Ayah pada Selasa Kliwon menjadi awal petaka bagi keluarga Nuri. Konon, siapa pun yang wafat pada hari itu akan mengajak anggota keluarganya untuk sama-sama menjemput ajal. Sehingga keluarga yang ditinggal pun diminta menjalani serangkaian ritual untuk mencegah hal tersebut.  Wisesa, anak sulung yang berprofesi sebagai dokter, menolak ritual itu karena dianggap tidak masuk akal dan memilih menemani Ibunya yang masih terpukul. Namun, kejadian aneh dan mengerikan yang menimpa Nuri dan adiknya, Yanda, memaksa mereka mencari tahu tentang kebenaran di balik mitos dan ritual tersebut.  Apa yang sebenarnya terjadi? Apa benar ini ada hubungannya dengan kematian sang Ayah di Selasa Kliwon? CEPAT atau LAMBAT, semua akan menjadi ALMARHUM.","Kengerian, Cerita Seru",Adhe Dharmastriya,https://image.tmdb.org/t/p/w500/bHmtY7LUn27DGaQlZLKhROdrLrh.jpg,https://image.tmdb.org/t/p/original/83xeZxAUzv1AEm74lGx0jdbVMAc.jpg,102,Released,"Unlimited Production, A&Z Films, Dwi Abisatya Persada, Light House Productions"
1261543,Pengantin Iblis,Pengantin Iblis,2025-01-29,2025,6.0,13,1.68,"Ranti adalah seorang ibu dan istri yang amat berbakti. Ranti memiliki putri yang amat ia sayangi, tapi cacat kondisinya sejak lahir, Nina. Suatu hari Nina mengalami kecelakaan fatal yang membutuhkan penanganan segera. Namun suami Ranti yang bekerja sebagai pelaut sedang tidak berada di rumah, dan keluarga besarnya juga tidak bisa membantu Ranti. Ranti akhirnya harus mencari jalan apapun demi keselamatan Nina. Ranti terpaksa menerima tawaran untuk menjadi pengantin iblis. Akhirnya Nina dapat disembuhkan, namun ada harga lain yang harus Ranti bayar, yang menyangkut nyawa seluruh anggota keluarganya.","Kengerian, Cerita Seru",Azhar Kinoi Lubis,https://image.tmdb.org/t/p/w500/6UWQVddCVCnFM4G7PSHcCc5NGtI.jpg,https://image.tmdb.org/t/p/original/tX0G6mVkRt550e3cfzkqZIK8wNz.jpg,105,Released,Lyto Pictures
1386004,Tak Ingin Usai Disini,Tak Ingin Usai Disini,2025-06-05,2025,8.3,3,1.55,Belum ada sinopsis.,"Drama, Percintaan",Robert Ronny,https://image.tmdb.org/t/p/w500/90Gzl2ndhmFLhZp0vJEYVlBxATl.jpg,https://image.tmdb.org/t/p/original/nQb0jA0gA4D56fMNOvFx1ntFHJU.jpg,108,Released,"Paragon Pictures, Ideosource Entertainment, Legacy Pictures, Virtuelines Entertainment, Nuon, Netzme, Kreasi Media Indonesia Fund"
1280089,Pengepungan di Bukit Duri,Pengepungan di Bukit Duri,2025-04-17,2025,8.2,15,1.57,"Edwin berjanji pada kakaknya sebelum meninggal untuk menemukan anak kakaknya yang hilang. Pencarian Edwin membawanya menjadi guru di SMA Duri, sekolah untuk anak-anak bermasalah. Di sana, Edwin menghadapi murid-murid paling beringas sambil mencari keponakannya. Ketika akhirnya ia menemukan sang keponakan, kerusuhan pecah di seluruh kota dan mereka terjebak di sekolah, melawan anak-anak brutal yang kini mengincar nyawa mereka.","Aksi, Kejahatan, Cerita Seru",Joko Anwar,https://image.tmdb.org/t/p/w500/tx2toda5HijndqRZXDuoGkSud8L.jpg,https://image.tmdb.org/t/p/original/dcpXPUVEqiuYclsnael3bJjos4B.jpg,118,Released,"Come and See Pictures, Amazon MGM Studios"
1391149,Waktu Maghrib 2,Waktu Maghrib 2,2025-05-28,2025,7.1,4,0.79,"20 tahun setelah kejadian yang dialami Adi (Omar Daniel) dan kawan-kawannya di Jatijajar, Jin Ummu Sibyan kembali meneror anak-anak di sebuah desa, kali ini di Giritirto. Yogo (Sulthan Hamonangan), Dewo (Ghazi Alhabsy), dan Wulan (Anantya Kirana) beserta 5 anak lainnya terlibat keributan di pertandingan bola antara pemain inti dan cadangan. Kalah dalam keributan, mereka bergegas pulang ke desa di waktu maghrib. Sepanjang perjalanan mereka menyumpahi tim inti sepak bola agar terkena musibah. Tanpa mereka sadari, mereka telah membangkitkan petaka seperti kejadian Jatijajar. Kali ini lebih gila dan mencekam, di tengah hutan dan malam yang dingin, Ummu Sibyan merasuki salah satu dari mereka untuk memburu nyawa anak-anak tanpa ampun.","Kengerian, Misteri, Cerita Seru",Sidharta Tata,https://image.tmdb.org/t/p/w500/iD0iWNrqlfffm81BKP5IGzrMofq.jpg,https://image.tmdb.org/t/p/original/3zmsLQx8GLN6Rf1fmdFE3BcoMJ.jpg,107,Released,"Rapi Films, Sky Media, Legacy Pictures, Rhaya Flicks, Kebon Studio"
1501345,Yang Terjadi Di Antara Banyaknya Kejadian Di Malam Jakarta,Yang Terjadi Di Antara Banyaknya Kejadian Di Malam Jakarta,2025-06-03,2025,0.0,0,0.02,A man meets a woman in the middle of Jakarta.,Drama,Lucky Jassin,https://image.tmdb.org/t/p/w500/Aqou06fUvQ4u1IIBk0eViA4pYmt.jpg,,12,Released,Soir Lab
